"Source:","/home/kwendenarmo/git-repos/local/synusia/freecanvas/brd/power-supply/power-supply.sch"
"Date:","mar 18 ago 2015 19:39:24 CEST"
"Tool:","Eeschema 0.201508110901+6083~28~ubuntu14.04.1-product"
"Generator:","/usr/share/doc/kicad/scripts/bom-in-python/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","68"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C3, ","1","1000uF","CP","Capacitors_ThroughHole:C_Radial_D16_L25_P7.5","Polarised capacitor","647-UVZ1J102MHD"
"C4, C18, C19, C1, C5, ","5","10nF","C","Capacitors_ThroughHole:C_Disc_D3_P2.5","Unpolarized capacitor","594-K103K15X7RF5UL2"
"C6, C10, C7, C11, ","4","1000uF","CP","Capacitors_ThroughHole:C_Radial_D12.5_L25_P5","Polarised capacitor","647-UVR1V102MHD1TO"
"C8, C9, ","2","22uF","CP","Capacitors_ThroughHole:C_Radial_D5_L11_P2","Polarised capacitor","647-UVK1H220MDD"
"C12, C13, C16, C17, C2, ","5","4.7uF","CP","Capacitors_ThroughHole:C_Radial_D5_L11_P2","Polarised capacitor","140-RGA4R7M1HBK0511G"
"C14, C15, C20, ","3","100nF","C","Capacitors_ThroughHole:C_Disc_D3_P2.5","Unpolarized capacitor","594-K104K15X7RF5UH5"
"D1, D2, D6, ","3","RED","LED-RESCUE-power-supply","LEDs:LED-5MM","","696-SLX-LX5093ID"
"D3, ","1","BR101","Diode_Bridge","asrdi-diode:BR-10","Diode bridge","583-BR101"
"D4, ","1","GREEN","LED-RESCUE-power-supply","LEDs:LED-5MM","","696-SLX-LX5093GD"
"D5, ","1","1N4007","D","Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10","Diode","583-1N4007-T"
"F1, F2, ","2","6.3A","FUSE","asrdi-fuse:Fuseholder5x20-littelfuse646","","576-64600001223"
"HS3, HS4, HS1, HS2, ","4","HEATSINK","HEATSINK","asrdi-heatsink:RA-T2X-xxE","","588-RA-T2X-51E"
"J1, ","1","IEC C13","CONN_01X03","asrdi-conn:703W-0053","","562-703W-00/53"
"J2, ","1","PE","CONN_01X01","Divers:douille_4mm","",""
"J3, ","1","MAIN OUT","CONN_01X04","asrdi-conn:39880-0304","","538-39880-0304"
"J4, ","1","CONTROL","CONN_01X03","asrdi-conn:39880-0303","","538-39880-0303"
"J6, J5, ","2","FAN","CONN_01X03","Socket_Strips:Socket_Strip_Straight_1x03","","538-22-23-2031"
"J7, ","1","DUAL OUT","CONN_01X03","asrdi-conn:39880-0303","","538-39880-0303"
"K1, ","1","RTE24005","RTE24xxx","Relays_ThroughHole:Relay_DPDT_Schrack-RT2_RM5mm","","655-RTE24005"
"Q2, Q1, ","2","BC547","BC547","Housings_TO-92:TO-92_Inline_Wide","45V Vce, 0.1A Ic, NPN, Small Signal Transistor, TO-92","512-BC547BTA"
"Q3, ","1","BC517","BC517","Housings_TO-92:TO-92_Inline_Wide","30V Vce, 1A Ic, NPN Darlington Transistor, TO-92","512-BC517D74Z"
"R2, R1, ","2","1k8","R","Resistors_ThroughHole:Resistor_Horizontal_RM15mm","Resistor","293-1.8K-RC"
"R3, ","1","330R","R","Resistors_ThroughHole:Resistor_Horizontal_RM10mm","Resistor","603-CFR-25JR-52330R"
